"Name","Brand","Unit","Attribute 1","Attribute 2","Attribute 3"
"Acen Facial Set","(brand=O3+)","(unit=pcs)",,,
"Acne Control Serum","(brand=O3+)","(unit=pcs)","(attr=Seaweed)",,
"Acne Facial Parts","(brand=Unknown)","(unit=pcs)",,,
"Aerosol","(brand=Unknown)","(unit=pcs)",,,
"Agrbathi","(brand=Unknown)","(unit=box)",,,
"Air Freshener","(brand=Unknown)","(unit=pcs)",,,
"Almond Badam","(brand=Unknown)","(unit=kg)",,,
"Almond Oil","(brand=Aroma Magic)","(unit=pcs)",,,
"Alpona Tuli","(brand=Unknown)","(unit=dozn)",,,
"Alta","(brand=Unknown)","(unit=pcs)",,,
"Amla Powder","(brand=Unknown)","(unit=pkt)",,,
"Anti Pigment Ample","(brand=Aroma Magic)","(unit=pkt)",,,
"Antiseptic Cleanser","(brand=TNT)","(unit=pc)",,,
"Apron","(brand=Unknown)","(unit=pcs)","(attr=Black)","(attr=Staff)",
"Apron","(brand=Unknown)","(unit=pcs)","(attr=Black)","(attr=Customer)",
"Apron","(brand=Unknown)","(unit=pcs)","(attr=Purple)","(attr=Staff)",
"Apron","(brand=Unknown)","(unit=pcs)","(attr=Red)","(attr=Customer)",
"Apron","(brand=Unknown)","(unit=pcs)","(attr=Yellow)","(attr=Customer)",
"Apron","(brand=Unknown)","(unit=pcs)","(attr=Merron)","(attr=Customer)",
"Apron","(brand=Unknown)","(unit=pcs)","(attr=Dye)",,
"Apron","(brand=Unknown)","(unit=pcs)","(attr=Red)","(attr=Cleaner)",
"Apron","(brand=Unknown)","(unit=pcs)","(attr=Sabai)","(attr=Spa)",
"Apron","(brand=Unknown)","(unit=pcs)","(attr=Facial)","(attr=Customer)",
"Aroma Oil","(brand=Unknown)","(unit=pcs)",,,
"Astringent","(brand=Unknown)","(unit=pcs)",,,
"Axxium Soak off Gel Lacquer","(brand=O.P.I)","(unit=box)",,,
"Baby Savety Pin","(brand=Unknown)","(unit=pcs)",,,
"Bandage","(brand=Unknown)","(unit=Roll)",,,
"Base Make up","(brand=Kryolan)","(unit=pcs)",,,
"Base Make up","(brand=Aguacolor)","(unit=pcs)",,,
"Beni Pamp Lotion","(brand=Unknown)","(unit=pcs)",,,
"Beni Pum Salt","(brand=Unknown)","(unit=pcs)",,,
"Black Dye","(brand=Unknown)","(unit=box)",,,
"Bleach","(brand=Unknown)","(unit=pcs)",,,
"Bleach Brush","(brand=Unknown)","(unit=pcs)",,,
"Blender Mixer","(brand=Unknown)","(unit=??)",,,
"Blonder Powder","(brand=Unknown)","(unit=pcs)",,,
"Blonder Powder","(brand=Lotaji)","(unit=pcs)",,,
"Blush on","(brand=Unknown)","(unit=???)","(attr=Golden Rose)",,
"Blush on","(brand=Etude)","(unit=pcs)",,,
"Blush on","(brand=Jordana)","(unit=pcs)","(attr=Pink)",,
"Blush on","(brand=Olay)","(unit=pcs)",,,
"Blush on","(brand=Opra)","(unit=pcs)",,,
"Blush on","(brand=Max Touch)","(unit=pcs)",,,
"Blush on","(brand=Glamourous)","(unit=pcs)",,,
"Blush on","(brand=Decolor)","(unit=pcs)",,,
"Blush on","(brand=Europe_girl)","(unit=pcs)",,,
"Blush on","(brand=Jordana)","(unit=pcs)",,,
"Blush on","(brand=Jordana)","(unit=pcs)","(attr=Cocoa)",,
"Blush on  Brush","(brand=Unknown)","(unit=pcs)",,,
"Body Butter","(brand=Unknown)","(unit=pcs)",,,
"Body Lotion","(brand=Unknown)","(unit=pcs)","(attr=Honey)",,
"Body Massage Cream","(brand=Unknown)","(unit=pcs)",,,
"Body Massage Oil","(brand=Unknown)","(unit=pcs)",,,
"Body Oil","(brand=Jhonson)","(unit=pcs)",,,
"Body Scrub","(brand=Unknown)","(unit=pcs)",,,
"Box Plastic","(brand=Unknown)","(unit=pcs)",,,
"Bridal Kit","(brand=Unknown)","(unit=pcs)",,,
"Bronc Stick","(brand=Unknown)","(unit=pcs)",,,
"Brown Cloth (Pedicure/Pent)","(brand=Unknown)","(unit=yard)",,,
"Brush Machin","(brand=Unknown)","(unit=pcs)",,,
"Brush Machin Adaptar","(brand=Unknown)","(unit=pcs)",,,
"Bulb","(brand=Unknown)","(unit=???)","(attr=Normal)",,
"Bulb","(brand=Unknown)","(unit=???)","(attr=Energy)",,
"Calamine Powder","(brand=Unknown)","(unit=pcs)",,,
"Candle","(brand=Unknown)","(unit=???)",,,
"Caoleen Powder","(brand=Unknown)","(unit=pcs)",,,
"Cap","(brand=Unknown)","(unit=pkt)","(attr=1Time)",,
"Cap Color","(brand=Unknown)","(unit=pcs)",,,
"Cartin","(brand=Unknown)","(unit=??)",,,
"Castor Oil","(brand=Unknown)","(unit=pcs)",,,
"Chandan","(brand=Top Care)","(unit=pcs)",,,
"Chocolate Bar","(brand=Unknown)","((unit=kg)",,,
"Choping Boad","(brand=Unknown)","(unit=???)",,,
"Ciramic Half Plate","(brand=Unknown)","(unit=???)",,,
"Cleansing","(brand=Milk Beauty)","(unit=pcs)",,,
"Cleansing","(brand=Milk Therapy)","(unit=pcs)",,,
"Cleansing","(brand=Unknown)","(unit=pcs)","(attr=Alovera)",,
"Cleansing Gel","(brand=O3+)","(unit=pcs)",,,
"Cleansing Gel","(brand=O3+)","(unit=pcs)","(attr=Seaweed Purifying)",,
"Cleansing Gel","(brand=Sara)","(unit=pcs)","(attr=Gold)",,
"Cleansing Gel","(brand=Sara Silver)","(unit=pcs)",,,
"Cleansing Milk","(brand=Unknown)","(unit=pcs)",,,
"Cleansing Milk","(brand=Sara)","(unit=pcs)","(attr=Green Apple)",,
"Coffee","(brand=Unknown)","(unit=pkt)","(attr=Black)",,
"Coffee","(brand=Unknown)","(unit=pkt)","(attr=Premix)",,
"Cold and Hit Dryer","(brand=Unknown)","(unit=pcs)",,,
"Cold Wax","(brand=Unknown)","(unit=box)",,,
"Cold Wax","(brand=Unknown)","(unit=kg)","(attr=Liqued)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=Medium Brown)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=Burgundy)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=Mehoguny Copper)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=Light Mehoguny)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=Medium Chestnut)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=Light Warm Blonde)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=Autumn Gold Dark)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=Gold Blonde)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=Deep Burgundy)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=Dark Brown)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=Rosebuck Brown)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=Dark Mehoguny)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=Berina A23)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=1000)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=1001)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=9)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=9.00)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=9.1)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=9.2)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=9.3)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=9.32)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=8.00)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=8.1)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=8.3)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=8.4)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=8.32)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=8.34)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=8.45)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=8)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=8.52)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=8.66)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=7.00)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=7.2)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=7.3)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=7.32)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=7.43)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=7.44)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=7.46)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=7.54)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=7.66)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=6.00)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=6.1)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=6.3)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=6.4)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=6.03)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=6.5)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=6.6)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=6.46)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=6.64)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=6.67)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=5.3)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=5.4)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=5.5)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=5.6)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=5.7)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=5.35)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=5.53)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=5.67)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=4)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=4.3)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=4.6)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=4.7)",,
"Color","(brand=Unknown)","(unit=pcs)","(attr=4.45)",,
